"Title:Nome","Lookup:Ano de admissao","Lookup:Curso","Lookup:ADM_CODIGO_CHR","Lookup:SRE_CODIGO_CHR"
160808,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
160809,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
160810,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
160812,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
160817,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
163565,"20092","SISTEMAS DE INFORMACAO","VT","N"
163576,"20092","SISTEMAS DE INFORMACAO","VT","N"
163590,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","E"
163648,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
163662,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
163703,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","N"
163723,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
163732,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
163744,"20092","SISTEMAS DE INFORMACAO","VT","N"
163760,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","E"
163791,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
166399,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
169248,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
160865,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
160946,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
160947,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
160969,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
160972,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
160974,"20091","CIÊNCIA DA COMPUTAÇÃO","ES","E"
163840,"20092","SISTEMAS DE INFORMACAO","VT","E"
163863,"20091","CIÊNCIA DA COMPUTAÇÃO","VT","N"
163867,"20092","SISTEMAS DE INFORMACAO","VT","N"
163997,"20092","SISTEMAS DE INFORMACAO","VT","N"
164035,"20092","CIÊNCIA DA COMPUTAÇÃO","VT","E"
