ENGENHARIA QUIMICA,"0,0002","0,0081","0,0000","0,0084","0,0000","0,0000","0,0000","0,0003","0,0000","0,0000","0,4316","0,5307","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0208"
FARMACIA-Diurno,"0,0085","0,0000","0,0023","0,0010","0,0004","0,0003","0,0004","0,0000","0,0000","0,0000","0,2531","0,0003","0,5043","0,0000","0,0002","0,0012","0,0000","0,0000","0,2245","0,0000","0,0035"
MEDICINA VETERINARIA,"0,0212","0,0001","0,0036","0,0074","0,0003","0,0004","0,0000","0,0000","0,0000","0,0000","0,0144","0,0000","0,0001","0,6404","0,0000","0,0000","0,0000","0,0000","0,3092","0,0001","0,0027"
EDUCACAO FISICA,"0,0001","0,0000","0,0000","0,0018","0,0033","0,0918","0,0000","0,0009","0,0004","0,0000","0,0001","0,0000","0,0000","0,0000","0,7759","0,0001","0,0002","0,0000","0,0930","0,0000","0,0324"
FISIOTERAPIA,"0,0083","0,0000","0,0000","0,0609","0,0012","0,0002","0,0000","0,0000","0,0000","0,0000","0,0181","0,0002","0,0000","0,0000","0,6332","0,0147","0,0688","0,0000","0,1882","0,0000","0,0060"
TERAPIA OCUPACIONAL,"0,0009","0,0000","0,0000","0,0845","0,0007","0,0095","0,0000","0,0000","0,0048","0,0002","0,0179","0,0000","0,0000","0,0000","0,6153","0,0147","0,0687","0,0000","0,1754","0,0000","0,0075"
ENFERMAGEM,"0,0000","0,0000","0,0000","0,0291","0,0007","0,0030","0,0000","0,0001","0,0000","0,0000","0,0085","0,0000","0,0011","0,0000","0,0003","0,7318","0,0027","0,0000","0,2170","0,0000","0,0056"
NUTRICAO,"0,0011","0,0000","0,0000","0,0000","0,0073","0,0247","0,0000","0,0000","0,0164","0,0000","0,0486","0,0000","0,0960","0,0000","0,0111","0,5694","0,0952","0,0000","0,1051","0,0000","0,0250"
MEDICINA,"0,0000","0,0000","0,0000","0,0002","0,0002","0,0000","0,0000","0,0000","0,0000","0,0000","0,0047","0,0000","0,0000","0,0000","0,0011","0,0084","0,7506","0,0000","0,2345","0,0000","0,0003"
FONOAUDIOLOGIA,"0,0006","0,0000","0,0004","0,0777","0,0428","0,0086","0,0003","0,0121","0,0000","0,0000","0,0165","0,0000","0,0002","0,0000","0,0223","0,0041","0,6285","0,0297","0,1303","0,0000","0,0258"
ODONTOLOGIA,"0,0001","0,0000","0,0000","0,0008","0,0003","0,0024","0,0000","0,0001","0,0000","0,0000","0,0001","0,0000","0,0000","0,0000","0,0002","0,0000","0,0031","0,7164","0,2748","0,0000","0,0018"
CIENCIAS BIOLOGICAS/DIURNO,"0,0037","0,0005","0,0000","0,0046","0,0050","0,1014","0,0010","0,0002","0,0218","0,0000","0,0672","0,0034","0,0011","0,0000","0,0009","0,0000","0,0053","0,0000","0,7722","0,0000","0,0118"
CIENCIAS BIOLOGICAS/NOTURNO,"0,0063","0,0000","0,0025","0,0053","0,0036","0,2322","0,0043","0,0004","0,0205","0,0002","0,0640","0,0011","0,0032","0,0005","0,0021","0,0005","0,0005","0,0000","0,6329","0,0000","0,0203"
AGRONOMIA,"0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,9965","0,0035"
ZOOTECNIA,"0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0004","0,0000","0,0000","0,0000","0,0000","0,0000","0,9982","0,0014"
