ICEX,0.0976,0.0906,0.0671,0.1098,0.0005,0.0000,0.0312,0.0301,0.0236,0.0024,0.0081,0.0031,0.0015,0.0285,0.0004,0.0000,0.0115,0.0123,0.0010,0.0000,0.0000,0.0254,0.0235,0.2572,0.0008,0.0053,0.8449,0.6681,0.6560,0.8519,0.8970,0.7525,0.9117,0.8350,0.9352,0.9096,0.8331,0.2583,0.3159,0.3576,0.2946,0.2774,0.1957,0.2019,0.3961,0.4316,0.2531,0.0144,0.0001,0.0181,0.0179,0.0085,0.0486,0.0047,0.0165,0.0001,0.0672,0.0640,0.0000,0.0000
ENGENHARIA,0.0000,0.0026,0.0052,0.0012,0.0000,0.0000,0.0000,0.0012,0.0000,0.0013,0.0011,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030,0.0012,0.0004,0.0000,0.1557,0.0046,0.0010,0.0000,0.0009,0.0032,0.0027,0.0021,0.0000,0.0000,0.0205,0.0039,0.6282,0.6550,0.4856,0.6056,0.6186,0.6703,0.6653,0.5480,0.5307,0.0003,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0034,0.0011,0.0000,0.0000
FARMACIA,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.5043,0.0001,0.0000,0.0000,0.0000,0.0011,0.0960,0.0000,0.0002,0.0000,0.0011,0.0032,0.0000,0.0000
VETERINARIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0004
EEFFTO,0.0085,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0017,0.0003,0.0000,0.0000,0.0007,0.0000,0.0000,0.0006,0.0006,0.0000,0.0017,0.0011,0.0000,0.0000,0.0000,0.0189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0027,0.0008,0.0001,0.0000,0.0002,0.0000,0.7759,0.6332,0.6153,0.0003,0.0111,0.0011,0.0223,0.0002,0.0009,0.0021,0.0000,0.0000
ENFERMAGEM,0.0004,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0012,0.0000,0.0001,0.0147,0.0147,0.7318,0.5694,0.0084,0.0041,0.0000,0.0000,0.0005,0.0000,0.0000
MEDICINA,0.0000,0.0018,0.0000,0.0000,0.0006,0.0011,0.0000,0.0000,0.0002,0.0006,0.0042,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0002,0.0688,0.0687,0.0027,0.0952,0.7506,0.6285,0.0031,0.0053,0.0005,0.0000,0.0000
ODONTOLOGIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0297,0.7164,0.0000,0.0000,0.0000,0.0000
ICB,0.0005,0.0179,0.0003,0.0008,0.0000,0.0000,0.0002,0.0007,0.0014,0.0005,0.0034,0.0000,0.0000,0.0554,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000,0.0018,0.0004,0.0087,0.0060,0.0000,0.0013,0.0006,0.0000,0.0007,0.0071,0.0000,0.0000,0.0000,0.0013,0.0029,0.0015,0.0000,0.0053,0.0000,0.0002,0.0012,0.0061,0.0048,0.0000,0.0000,0.2245,0.3092,0.0930,0.1882,0.1754,0.2170,0.1051,0.2345,0.1303,0.2748,0.7722,0.6329,0.0000,0.0000
ICA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9965,0.9982
